index,variable,value
mean_loc_1_hr,photovoltaic,158.13725677485255
southwest_1_hr,photovoltaic,198.9046726147382
northwest_1_hr,offshore,202.43366209321889
southeast_1_hr,photovoltaic,204.60445139369048
northeast_1_hr,photovoltaic,222.95085565514205
northwest_1_hr,photovoltaic,235.90084234983428
northwest_24_hr,photovoltaic,256.1347706536459
mean_loc_24_hr,photovoltaic,256.2934857979612
northeast_24_hr,photovoltaic,263.5269663463096
southwest_24_hr,photovoltaic,269.32189511105474
southeast_24_hr,photovoltaic,276.4320682028478
mean_loc_1_hr,offshore,283.66602409481317
northeast_1_hr,offshore,287.1132206055615
northwest_24_hr,offshore,351.4585514531577
mean_loc_24_hr,offshore,357.272829752969
southwest_1_hr,offshore,359.99826837501934
northeast_24_hr,offshore,370.64792422640795
southeast_1_hr,offshore,371.10184621867114
southeast_24_hr,offshore,373.8299769802675
southwest_24_hr,offshore,376.22543201385565
mean_loc_1_hr,onshore,516.3418216224746
northwest_1_hr,onshore,586.401735380308
northeast_1_hr,onshore,670.2600749135446
southwest_1_hr,onshore,1057.8596920923446
southeast_1_hr,onshore,1169.9784427326188
northwest_24_hr,onshore,1389.9996842645342
mean_loc_24_hr,onshore,1391.591592790601
southwest_24_hr,onshore,1482.369118436842
northeast_24_hr,onshore,1504.3025105576546
southeast_24_hr,onshore,1638.1741418736037
